*coniugazione,verbo,traduzione
I coniugazione,celĕbro  -as  -āre,celebrare  frequentare
II coniugazione,detĭneo  -es  -ēre,trattenere  arrestare
II coniugazione,lugeo  -es  -ēre,essere addolorati  in lutto
III coniugazione,frango  -is  -ĕre,spezzare  rompere
III coniugazione,peto  -is  -ĕre,chiedere
III coniugazione,reddo  -is  -ĕre,restituire
III coniugazione,sumo  -is  -ĕre,prendere  afferrare
IV coniugazione,erudio  -is  -īre,educare  insegnare
IV coniugazione,exaudio  -is  -īre,ascoltare  esaudire
IV coniugazione,gestio  -is  -īre,esaltarsi
IV coniugazione,servio  -is  -īre,essere schiavi
coniugazione mista,aspicio  -is  -ĕre,osservare  scorgere  guardare
coniugazione mista,elĭcio  -is  -ĕre,attirare  far uscire
coniugazione mista,pario  -is  -ĕre,partorire
coniugazione mista,quatio  -is  -ĕre,scuotere
coniugazione mista,refĭcio  -is  -ĕre,rifare  ricostruire
I coniugazione,agĭto  -as  -āre,inseguire  cacciare  mettere in movimento
I coniugazione,culpo  -as  -āre,incolpare
I coniugazione,iuro  -as  -āre,giurare
I coniugazione,remĕo  -as  -āre,ritornare
I coniugazione,sto  -as  -āre,stare  stare in piedi
II coniugazione,deleo  -es  -ēre,distruggere  eliminare
II coniugazione,praebeo  -es  -ēre,offrire  porgere
III coniugazione,cognosco  -is  -ĕre,conoscere
III coniugazione,disco  -is  -ĕre,imparare
III coniugazione,fīgo  -is  -ĕre,trafiggere  conficcare
IV coniugazione,aperio  -is  -īre,aprire  rivelare
IV coniugazione,decĭpio  -is  -ĕre,ingannare
IV coniugazione,rapio  -is  -ĕre,rapire  strappare